연도,지역,대학명,전형유형,전형명,계열,모집단위,반영영역,반영영역수,최저학력기준,평균등급,비고,변경/신설
2027,충북,한국교원대,학생부종합,농어촌학생 특별전형,사범,"초등(7), 국어(2), 영어(1), 수학(1)",,,없음 (수능최저학력기준 미적용),,중·고 전 교육과정 이수 + 본인·부모 농어촌 거주 (정원외) / 면접 녹화 의무,
2027,충북,한국교원대,학생부종합,기초수급 및 차상위계층 특별전형,사범,유아·초등·국어·영어·윤리·일반사회·지리·역사·수학·물리·화학·생물·지구과학·가정·기술·컴퓨터·환경,,,없음 (수능최저학력기준 미적용),,기초생활수급·차상위계층·한부모가족 대상자 (정원외),
2027,충북,한국교원대,학생부종합,장애인 등 대상자 특별전형,사범,전 대학 우수 모집단위 (교육·유아·초등·특수 포함 음악·미술·체육 포함),,,없음 (수능최저학력기준 미적용),,장애인복지법·국가유공자법·특수임무유공자법·보훈보상 상이등급 대상자 (정원외),
2027,충북,한국교통대,학생부종합,학생부종합Ⅰ,공통,항공서비스학과 (21명),,,없음 (수능최저학력기준 미적용),,1단계 서류종합 100%(7배수) / 2단계 1단계 60% + 면접 40%,
2027,충북,한국교통대,학생부종합,학생부종합Ⅱ,공통,전 모집단위 (565명),,,없음 (수능최저학력기준 미적용),,"일괄합산 서류종합 100% (1,000점)",
2027,충북,한국교통대,학생부교과,일반전형,공통,전 모집단위 / 스포츠의학과는 학생부 60% + 실기 40%,"국,수,영,탐(사/과) 중",2,간호학과 상위 2개 영역 등급 합 8 이내 / 그 외 없음,,놱구·영어·수학·사과탐(1) 중 / 직업탐구 미반영,
2027,충북,한국교통대,학생부교과,지역인재전형,충청권,전 모집단위 (스포츠의학과 실기 포함),,,없음 (수능최저학력기준 미적용),,충청권(대전·세종 포함) 소재 고교 졸업(예정)자,
2027,충북,한국교통대,학생부교과,지역인재전형 - 저소득,의약,간호학과 (2명),,,없음 (수능최저학력기준 미적용),,충청권 고교 + 기초생활수급·차상위·한부모가족,
2027,충북,한국교통대,학생부교과,사회기여 및 배려자전형,공통,전 모집단위 (42명),,,없음 (수능최저학력기준 미적용),,지자체장상·다문화·직업군인·다자녀·장애인부모·소방·경찰·민주화·교정직 자녀,
2027,충북,한국교통대,학생부교과,고른기회전형,공통,"전 모집단위 (62명, 정원내)",,,없음 (수능최저학력기준 미적용),,기초생활수급·차상위계층·한부모가족 대상자,
2027,충북,한국교통대,실기/실적,일반전형 (음악/스포츠산업),예체능,음악학과 (10) / 스포츠산업학과 (10),,,없음 (수능최저학력기준 미적용),,음악학과: 학생부 20% + 실기 80% / 스포츠산업학과: 학생부 30% + 실기 70%,
2027,충북,한국교통대,실기/실적,특기자전형 (테니스),예체능,"스포츠산업학과 테니스 (남자, 2명)",,,없음 (수능최저학력기준 미적용),,학생부 교과 16% + 출결 4% + 실기 30% + 경기실적 50% / 최근 3년 내 ITF·전국대회 8강,
2027,충북,한국교통대,실기/실적,평생학습자전형Ⅰ,공통,미래융합대학(야간) - 안전융합·건설방재·스포츠복지·스마트철도·이차전지공학,,,없음 (수능최저학력기준 미적용),,만 30세 이상 또는 산업체 3년 이상 재직 수료자 / 면접 100%,
2027,충북,한국교통대,학생부교과,농어촌전형,공통,"전 모집단위 (정원외, 45명)",,,없음 (수능최저학력기준 미적용),,중·고 6년 또는 초·중·고 12년 농어촌 이수·거주,
2027,충북,한국교통대,학생부교과,특성화고동일계전형,공통,"전 모집단위 (정원외, 27명)",,,없음 (수능최저학력기준 미적용),,특성화고등학교 동일계열 기준학과 이수자 (마이스터고 제외),
2027,충북,한국교통대,학생부교과,기회균등전형,공통,"전 모집단위 (정원외, 31명)",,,없음 (수능최저학력기준 미적용),,기초생활수급·차상위계층·한부모가족 대상자 (정원외),
2027,충북,한국교통대,학생부교과,특수교육대상자전형,공통,"전 모집단위 (정원외, 11명, 스포츠의학 실기 포함)",,,없음 (수능최저학력기준 미적용),,장애인복지법·국가유공자법 상이등급 대상자,
2027,충남,한국기술교육대,학생부종합,창의인재(서류형),공통,전 모집단위 (124명),,,없음 (수능최저학력기준 미적용),,서류평가 100% / 학업역량35 + 전공적합선35 + 나우리역량30,
2027,충남,한국기술교육대,학생부종합,창의인재(면접형),공통,전 모집단위 (110명),,,없음 (수능최저학력기준 미적용),,1단계 서류 100%(4배수) / 2단계 1단계 60% + 면접 40%,
2027,충남,한국기술교육대,학생부종합,사회통합,공통,전 모집단위 (25명),,,없음 (수능최저학력기준 미적용),,서류평가 100% / 국가보훈·저소득·다문화 등 사회배려대상,
2027,충남,한국기술교육대,학생부종합,특성화고졸업자,공통,"전 모집단위 (정원외, 12명)",,,없음 (수능최저학력기준 미적용),,서류평가 100% / 특성화고 졸업(예정)자 (정원외),
2027,충남,한국기술교육대,학생부종합,농어촌학생,공통,"전 모집단위 (정원외, 33명)",,,없음 (수능최저학력기준 미적용),,서류평가 100% / 중·고 6년 또는 초·중·고 12년 농어촌 이수 (정원외),
2027,충남,한국기술교육대,학생부종합,특수교육대상자,공통,"전 모집단위 (정원외, 5명)",,,없음 (수능최저학력기준 미적용),,서류평가 100% / 장애인복지법·국가유공자법 대상자 (정원외),
2027,충남,한국기술교육대,학생부종합,충남형계약학과(조기취업형),공통,"반도체·디스플레이공학과 (정원외, 60명)",,,없음 (수능최저학력기준 미적용),,1단계 서류 100%(4배수) / 2단계 1단계 60% + 면접 40% / 3년 6학기제,증원 (40→60명)
2027,충남,한국기술교육대,학생부교과,일반전형,공통,전 모집단위 (192명),"국,수,영,사/과탐(상위 1) 중",2,상위 2개 영역 등급 합 8 이내,,필수: 공·ICT 수학(디자인공학 제외) / 사회·자율인문 국어 / 자율자연 수학,
2027,충남,한국기술교육대,학생부교과,지역인재,충청권,전 모집단위 (85명),"국,수,영,사/과탐(상위 1) 중",2,상위 2개 영역 등급 합 8 이내 (필수 반영과목 없음),,대전·세종·충남·충북 소재 고교 3학년 전 과정 이수자,
2027,충남,한국기술교육대,논술,논술전형,공통,전 모집단위 (150명),,,없음 (수능최저학력기준 미적용),,논술 100% / [공·ICT] 수리논술 [사회] 자료제시형 언어논술 / 11.25 논술고사,
2027,서울,한국외대,학생부교과,학교장추천전형,공통,"전 모집단위 (AI융합대 통합모집 제외, 370명)","국,수,영,탐(사/과 1) 중",2,서울캐(언어·사회·경영 등) 2개 영역 합 4 / 인문대·글로벌캐 2개 영역 합 6 이내,,학생부 교과 100% / 한국사 반영 폐지,
2027,서울,한국외대,학생부종합,학생부종합전형(면접형),공통,전 모집단위 (478명),,,없음 (수능최저학력기준 미적용),,1단계 서류 100%(3배수) / 2단계 서류 50% + 면접 50%,
2027,서울,한국외대,학생부종합,학생부종합전형(SW인재),공통,컴퓨터공학부 등 SW 관련 모집단위 (34명),,,없음 (수능최저학력기준 미적용),,서류평가 100% (일괄합산),
2027,서울,한국외대,학생부종합,학생부종합전형(서류형),공통,전 모집단위 (585명),,,없음 (수능최저학력기준 미적용),,서류평가 100% / 학업역량30 + 진로역량50 + 공동체역량20,
2027,서울,한국외대,논술,논술전형,공통,"전 모집단위 (국가전략언어대 제외, 452명)","국,수,영,탐(사/과 1) 중",2,서울캐 2개 영역 합 4 / 글로벌캐·인문대일부 2개 영역 합 6 이내,,논술 100% / 한국사 반영 폐지,
2027,경기,한국항공대,논술,논술우수자전형,공통,전 모집단위 (198명),"국,수,영,탐(사/과/직 상위 1) 중",2,2개 영역 등급 합 6 이내 (한국사 응시 필수),,논술 100% / [공·AI·공학적성] 공학수리논술 [이학] 이학수리논술 [사회] 언어논술 / 11.21 논술고사,
2027,경기,한국항공대,학생부교과,교과성적우수자전형,공통,전 모집단위 (108명),"국,수,영,탐(사/과/직 상위 1) 중",2,2개 영역 등급 합 6 이내 (한국사 응시 필수),,학생부 교과 100% / 진로선택 과목 별도 가산,
2027,경기,한국항공대,학생부교과,학교장추천전형,공통,전 모집단위 (108명),,,없음 (수능최저학력기준 미적용),,학생부 교과 100% / 소속 고교장 추천 (석차등급 3개 과목 이상 필요),
2027,경기,한국항공대,학생부종합,미래인재전형,공통,전 모집단위 (146명),,,없음 (수능최저학력기준 미적용),,1단계 서류종합평가 100%(3배수) / 2단계 1단계 70% + 면접 30%,
2027,경기,한국항공대,학생부종합,고른기회전형,공통,전 모집단위 (44명),,,없음 (수능최저학력기준 미적용),,1단계 서류종합평가 100%(3배수) / 2단계 1단계 70% + 면접 30% / 사회배려대상,
2027,부산,한국해양대,학생부교과,일반전형,공통,"전 모집단위 (예·체능 제외, 86명)",계열별 수/영/탐 또는 국/영/탐,2,해사·인문사회 2개 합 9 이내 / 해양과학기술·해양공과 중 1개 영역 5등급 이내,,학생부 교과 100% / 탐구 2과목 등급 평균 / 해사대 선원건강검진 필요,
2027,부산,한국해양대,학생부교과,교과성적우수자전형,공통,전 모집단위 (780명),계열별 수/영/탐 또는 국/영/탐,2,해사·인문사회 2개 합 9 / 해양과학기술·해양공과 1개 영역 5등급 / 해양스포츠 1개 5등급,,학생부 교과 100% (예·체능 교과 60% + 실기 40%),
2027,부산,한국해양대,학생부교과,지역인재전형,부산·울산·경남,전 모집단위 (117명),계열별 수/영/탐 또는 국/영/탐,2,해사·인문사회 2개 합 9 / 해양과학기술·해양공과 1개 영역 5등급 이내,,1단계 교과 100%(5배수) / 2단계 1단계 80% + 면접 20% / 부·울·경남 고교 전 과정 이수,
2027,부산,한국해양대,학생부교과,농·어촌학생 특별전형,공통,"전 모집단위 (정원외, 41명)",,,없음 (수능최저학력기준 미적용),,학생부 교과 100% / 중·고 6년 또는 초·중·고 12년 농어촌 이수·거주 (정원외),
2027,부산,한국해양대,학생부교과,특성화고교졸업자 특별전형,공통,"동일계열 기준학과 모집단위 (정원외, 11명)",,,없음 (수능최저학력기준 미적용),,학생부 교과 100% / 동일계열 특성화고 졸업(예정)자 또는 전문교과 30단위 이상 (정원외),
2027,부산,한국해양대,학생부교과,기회균형선발 특별전형,공통,"전 모집단위 (정원외, 24명)",,,없음 (수능최저학력기준 미적용),,학생부 교과 100% / 기초생활수급·차상위계층·한부모가족 (정원외),
2027,부산,한국해양대,학생부종합,아치해양인재전형Ⅰ(일반),공통,전 모집단위 (100명),계열별 수/영/탐 또는 국/영/탐,2,해사·인문사회 2개 합 9 / 해양과학기술·해양공과 1개 영역 5등급 이내,,학생부 교과 60% + 서류평가 40% / 서류: 공동체·진로·학업역량 종합평가,
2027,부산,한국해양대,학생부종합,아치해양인재전형Ⅱ(사회적배려대상자),공통,전 모집단위 (38명),계열별 수/영/탐 또는 국/영/탐,2,해사·인문사회 2개 합 9 / 해양과학기술·해양공과 1개 영역 5등급 이내,,서류평가 100% / 국가보훈·소년소녀가장·다문화·선원자녀·기초수급 등,
2027,부산,한국해양대,학생부종합,특수교육대상자전형,공통,"해양과학기술·해양공과·인문사회 모집단위 (정원외, 4명)",,,없음 (수능최저학력기준 미적용),,서류평가 100% / 장애인복지법·국가유공자법 대상자 (정원외),
2027,부산,한국해양대,학생부종합,특성화고 등을 졸업한 재직자 특별전형,공통,"해기자율전공학부 등 (정원외, 10명)",,,없음 (수능최저학력기준 미적용),,서류평가 100% (학생부·자기소개서) / 특성화고 졸업 + 산업체 3년 이상 재직 (정원외),
2027,부산,한국해양대,실기/실적,체육특기자전형,예체능,해양스포츠과학과 요트(윈드서핑 포함) (2명),,,없음 (수능최저학력기준 미적용),,입상실적 50% + 교과 10% + 출석 10% + 면접 30%,
2027,강원,한림대,학생부종합,학교생활우수자,공통,전 모집단위 (557명),"국,영,수,과탐(2평균) 중",3,의학과 4개 중 3개 합 4 이내 (영어 포함 시 1등급) / 그 외 모집단위 없음,,1단계 서류 100%(4배수) / 2단계 1단계 70% + 면접 30%,
2027,강원,한림대,학생부종합,지역의사_의학과,의약,"의학과 (7명, 강원지역 중·고 출신)","국,영,수,과탐(2평균) 중",3,"4개 중 3개 합 5 이내 (영어 포함 시 2등급 이내) / 수학 미적분·기하, 과탐 지정",,1단계 서류 100%(5배수) / 2단계 1단계 90% + 면접 / 10년 의무복무,
2027,강원,한림대,학생부종합,지역인재,의약,"의학과 (42명, 강원지역 고교 출신)","국,영,수,과탐(2평균) 중",3,의학과 4개 중 3개 합 5 이내 (영어 포함 시 1등급),,1단계 서류 100%(5배수) / 2단계 1단계 70% + 면접 30%,
2027,강원,한림대,학생부종합,기초생활수급자및차상위계층_의학과,의약,의학과 (2명),,,의학과 수능최저학력기준 적용 (세부기준 모집요강 참고),,단계별 / 기초생활수급·차상위계층 대상자,
2027,강원,한림대,학생부종합,농어촌학생_의학과,의약,"의학과 (2명, 농어촌지역 고교 출신)",,,의학과 수능최저학력기준 적용 (세부기준 모집요강 참고),,단계별 / 농어촌지역 고교 6년 이수·거주,
2027,강원,한림대,학생부종합,장애인등대상자,공통,의학과 제외 전 모집단위 (제한없음),,,없음 (수능최저학력기준 미적용),,1단계 서류 100%(선발인원 제한없음) / 2단계 1단계 50% + 면접 50% / 장애인·국가유공자,
2027,강원,한림대,학생부교과,교과우수자,공통,"전 모집단위 (의학과 제외, 605명)","국,영,수,사/과탐(2평균) 중",3,간호학과 4개 중 3개 합 10 이내 (수학 미적분/기하 선택 시 12등급) / 그 외 없음,,학생부 교과 90% + 출결 10% / 진로선택 가산점,
2027,강원,한림대,학생부교과,지역인재,강원,강원지역 고교 출신 전 모집단위 (269명),,,없음 (수능최저학력기준 미적용),,학생부 교과 90% + 출결 10% / 강원지역 고교 출신자,
2027,강원,한림대,학생부교과,기초생활수급자및차상위계층_간호학과,의약,간호학과 (3명),,,없음 (수능최저학력기준 미적용),,학생부 교과 90% + 출결 10% / 기초생활수급·차상위계층,
2027,강원,한림대,학생부교과,한림케어1,공통,"전 모집단위 (118명, 기회균)",,,없음 (수능최저학력기준 미적용),,학생부 교과 90% + 출결 10% / 한림대 독자 기회균 자격,
2027,강원,한림대,학생부교과,농어촌학생,공통,"전 모집단위 (정원외, 79명)",,,없음 (수능최저학력기준 미적용),,학생부 교과 90% + 출결 10% / 농어촌·서핗5도 고교 출신 (정원외),
2027,강원,한림대,학생부교과,기초생활수급자및차상위계층,공통,"전 모집단위 (정원외, 27명)",,,없음 (수능최저학력기준 미적용),,학생부 교과 90% + 출결 10% / 기초생활수급·차상위계층 (정원외),
2027,강원,한림대,학생부교과,한림케어2 (독자전형),공통,전 모집단위 (17명),,,없음 (수능최저학력기준 미적용),,학생부 교과 90% + 출결 10% / 한림대 독자 기준,
2027,강원,한림대,실기/실적,외국어특기자,공통,영어·중국학 등 어학 관련 모집단위 (19명),,,없음 (수능최저학력기준 미적용),,일괄합산 서류 60% + 면접 40%,
2027,강원,한림대,실기/실적,체육특기자,예체능,체육학과 등 (9명),,,없음 (수능최저학력기준 미적용),,일괄합산 / 경기실적 + 면접 (적성·인성 평가),
2027,서울,한성대,학생부교과,교과우수전형,공통,"전 모집단위 (주간 208 / 야간 52, 총 260명)","국,수,영,탐(사/과 1) 중",2,주간 2개 영역 등급 합 7 / 야간 2개 영역 등급 합 8 이내,,학생부 교과(정량) 100% / 제2외국어·한문 탐구 대체 가능,
