지역,대학명,전형명,계열,모집인원,단계,전형방법,면접시기,1단계발표,면접일자,면접방법,수능최저,세부수능최저,학업역량,진로역량,공동체역량,평가요소,인재상
광주,조선대,"학생부종합(서류,의예)",의예,6,일괄,서류 100,,,,,,없음,40,40,20,교과활동(40)+진로역량(40)+비교과활동(20),"함께형'인재(자기주도, 창의융합, 배려봉사)"
광주,조선대,"학생부종합(서류,치의예)",치의예,6,일괄,서류 100,,,,,,없음,40,40,20,교과활동(40)+진로역량(40)+비교과활동(20),"함께형'인재(자기주도, 창의융합, 배려봉사)"
서울,중앙대,CAU융합형인재(의예),의예,11,단계,"의과대학 1단계(5배수): 서류 100
2단계 : 1단계70 + 면접30",수능후,11.20.(목),11.29(토),서류/제시문,,없음,50,30,20,"학업역량(50,학업성취도(융합),학업태도,탐구력)+진로역량(30전공/계얄관련 교과이수노력,교과성취도,잔로탐색활동과경험-융합)+공동체역량(20)",i-Creator(세계시민의식을 바탕으로 사회에 공헌하고 변화를 선도하는 미래융합인재)
서울,중앙대,CAU탐구형인재,,417,단계,"1단계(4~5배수) : 서류 100
2단계 : 1단계 70 +  면접30",수능후,11.20.(목),11.29(토)~30.(일),서류,,없음,40,50,10,"학업역량(40,학업성취도),학업태도,탐구력-탐구)+진로역량(50전공/계얄관련 교과이수노력-탐구,교과성취도-탐구,잔로탐색활동과경험)+공동체역량(10)",i-Creator(세계시민의식을 바탕으로 사회에 공헌하고 변화를 선도하는 미래융합인재)
서울,중앙대,CAU탐구형인재(약학),약학,19,단계,"1단계(5배수) : 서류 100
2단계 : 1단계 70 +  면접30",수능후,11.20.(목),11.29(토),서류,,없음,40,50,10,"학업역량(40,학업성취도),학업태도,탐구력-탐구)+진로역량(50전공/계얄관련 교과이수노력-탐구,교과성취도-탐구,잔로탐색활동과경험)+공동체역량(10)",i-Creator(세계시민의식을 바탕으로 사회에 공헌하고 변화를 선도하는 미래융합인재)
서울,중앙대,CAU탐구형인재(의예),의예,15,단계,"1단계(5배수) : 서류 100
2단계 : 1단계 70 +  면접30",수능후,11.20.(목),11.30(일),서류,,없음,40,50,10,"학업역량(40,학업성취도),학업태도,탐구력-탐구)+진로역량(50전공/계얄관련 교과이수노력-탐구,교과성취도-탐구,잔로탐색활동과경험)+공동체역량(10)",i-Creator(세계시민의식을 바탕으로 사회에 공헌하고 변화를 선도하는 미래융합인재)
서울,중앙대,CAU융합형인재(일반),,322,일괄,서류 100,,,,,,없음,50,30,20,"학업역량(50,학업성취도(융합),학업태도,탐구력)+진로역량(30,전공/계얄관련 교과이수노력,교과성취도,잔로탐색활동과경험-융합)+공동체역량(20)",i-Creator(세계시민의식을 바탕으로 사회에 공헌하고 변화를 선도하는 미래융합인재)
서울,중앙대,"CAU융합형인재(일반,약학)",약학,18,일괄,서류 100,,,,,,없음,50,30,20,"학업역량(50,학업성취도(융합),학업태도,탐구력)+진로역량(30,전공/계얄관련 교과이수노력,교과성취도,잔로탐색활동과경험-융합)+공동체역량(20)",i-Creator(세계시민의식을 바탕으로 사회에 공헌하고 변화를 선도하는 미래융합인재)
경기,중앙대(다빈치),CAU융합형인재(다빈치),,103,일괄,서류 100,,,,,,없음,50,30,20,"학업역량(50,학업성취도(융합),학업태도,탐구력)+진로역량(30)+공동체역량(20)",i-Creator(세계시민의식을 바탕으로 사회에 공헌하고 변화를 선도하는 미래융합인재)
경기,중앙대(다빈치),CAU탐구형인재(다빈치),,58,단계,1단계(다빈치/3.5~5배수) : 서류 100/2단계 : 1단계 70 +  면접30,,11.20.(목),실시,,,없음,40,50,10,"학업역량(40,학업성취도,학업태도,탐구력-탐구)+진로역량(50)+공동체역량(10)",i-Creator(세계시민의식을 바탕으로 사회에 공헌하고 변화를 선도하는 미래융합인재)
경남,진주교대,21세기형 교직 적성자,교대,50,단계,"1단계(2.5배수) : 서류 100
2단계 : 1단계70+면접30",수능후,11.14.(금),11.22.(토),서류,,없음,35,20,45,학업수행역량(245)+자기주도역량(140)+공감 및 소통역량(140)+교직에 대한 가치와 태도(175),"교육경쟁력을 지닌 교사, 시민역량을 갖춘 교사, 미래가치를 공유하는 교사"
경기,차의과학대,CHA학생부종합(약학),약학,186,단계,"1단계(3배수) : 서류 100
2단계 : 1단계70 + 면접30",수능후,11.17.(월),"11.29.(토,약학과)",서류,3합6,"약학 : 국,수,영,탐 중 수학포함 3개 합 6. 소수점 절사",40,40,20,학업역량(40)+진로역량(40)+공동체역량(20),"차별화된 도전정신을 갖춘 창의적인재, 변화를 주도하는 전인적 글로벌 인재, 미래가능성을 함양한 융복합 인재"
경기,차의과학대,CHA학생부종합,,186,단계,"1단계(3배수) : 서류 100
2단계 : 1단계70 + 면접30",수능후,11.17.(월),11.21.(금)~23.(일),서류,,없음,40,40,20,학업역량(40)+진로역량(40)+공동체역량(20),"차별화된 도전정신을 갖춘 창의적인재, 변화를 주도하는 전인적 글로벌 인재, 미래가능성을 함양한 융복합 인재"
충북,청주교대,배움나눔인재,교대,42,단계,"1단계(4배수) : 서류 100
2단계 : 1단계60 + 면접40",수능후,11.07.(금),11.21.(금),서류,,없음,33.3,33.3,33.3,교직 인•적성/창의적 탐구역량/변화리더십을 균등 비율로 반영,"인성을 갖춘 교육 실천가, 창의적인 교육 전문가, 시야가 넓은 교육 지도자"
서울,총신대,코람데오인재,,124,단계,"1단계(3배수) : 서류 100
2단계 : 1단계70 + 면접30",수능후,11.05.(수),11.15.(토),서류,,없음,30,40,30,학업역량(30)+전공적합성(20)+발전가능성(20)+인성 및 영성(30),"경건한 인성인, 창조적 지성인, 글로컬 실천인"
강원,춘천교대,교직적•인성인재,교대,96,일괄,서류 100,,,,,3합9,"국,수,영,탐(1) 중 3개 합 9, 한 4",38,28,34,학업역량(38)+진로역량(28)+공동체역량(34),변혁적 지성과 탁월한 품성을 지닌 유능한 초등교사
대전,충남대,학생부종합Ⅰ(일반),,387,단계,"1단계(2~3배수) : 서류 100
2단계 : 학생부66.7 + 면접33.3",수능후,11.14.(금),11.25.(화)~28.(금),서류,3합9~12,"사범계열(인문):국,영,수,탐(1)중 상위 3개합 9이내/사범계열(자연)/간호:국,영,수,과탐(1)중 상위 3합 12이내, 사탐(1) 3개합11이내/수학교육과(수학-미/기)필수 3합10이내/그외 없음",75.5,24.5,,학업적역량(75.5)+사회적역량(24.5),"CNU STRONG(자기관리, 의사소통, 대인관계, 창의융합, 인성, 글로벌)"
대전,충남대,학생부종합Ⅰ(일반-수의예),수의예,4,단계,"1단계(3배수) : 서류 100
2단계 : 학생부66.7 + 면접33.3",수능후,11.14.(금),11.26.(수),서류,3합7,"수의예:국,영,과탐(2) 중 상위 2개+수(미/기) 합 7 이내",75.5,24.5,,학업적역량(75.5)+사회적역량(24.5),"CNU STRONG(자기관리, 의사소통, 대인관계, 창의융합, 인성, 글로벌)"
대전,충남대,학생부종합Ⅰ(일반-의예),의예,14,단계,"1단계(3배수) : 서류 100
2단계 : 학생부66.7 + 면접33.3",수능후,11.14.(금),11.26.(수),서류,3합5,"의학:국,영,과탐(2) 중 상위 2개+수(미/기) 합 5 이내",75.5,24.5,,학업적역량(75.5)+사회적역량(24.5),"CNU STRONG(자기관리, 의사소통, 대인관계, 창의융합, 인성, 글로벌)"
대전,충남대,학생부종합Ⅱ(국가안보융합인재-국토안보학전공),,19,단계,"·1단계(3배수): 서류 100%
 ·2단계: 서류 57.1%+면접 28.6%
  +체력평가 14.3%+신체검사(합불)",수능후,10.24.(금),11.27.(목),서류,,없음,75.5,24.5,,학업적역량(75.5)+사회적역량(24.5),"CNU STRONG(자기관리, 의사소통, 대인관계, 창의융합, 인성, 글로벌)"
대전,충남대,학생부종합Ⅱ(국가안보융합인재-해양안보학전공),,36,단계,"·1단계(3배수): 서류 100%
 ·2단계: 서류 57.1%+면접 28.6%
  +체력평가 14.3%+인성검사/신체검사/신원조사(합불)",수능후,10.24.(금),11.26.(수),서류,,없음,75.5,24.5,,학업적역량(75.5)+사회적역량(24.5),"CNU STRONG(자기관리, 의사소통, 대인관계, 창의융합, 인성, 글로벌)"
대전,충남대,학생부종합Ⅰ(서류),,269,일괄,서류 100,,,,,,없음,75.5,24.5,,학업적역량(75.5)+사회적역량(24.5),"CNU STRONG(자기관리, 의사소통, 대인관계, 창의융합, 인성, 글로벌)"
대전,충남대,학생부종합Ⅰ(서류-수의예),수의예,2,일괄,서류 100,,,,,3합7,"수의예:국,영,과탐(2) 중 상위 2개+수(미/기) 합 7 이내",75.5,24.5,,학업적역량(75.5)+사회적역량(24.5),"CNU STRONG(자기관리, 의사소통, 대인관계, 창의융합, 인성, 글로벌)"
대전,충남대,학생부종합Ⅰ(서류-약학),약학,2,일괄,서류 100,,,,,3합6,"약학:국,영,과탐(2) 중 상위 2개+수(미/기) 합 6 이내",75.5,24.5,,학업적역량(75.5)+사회적역량(24.5),"CNU STRONG(자기관리, 의사소통, 대인관계, 창의융합, 인성, 글로벌)"
대전,충남대,학생부종합Ⅰ(서류-의예),의예,6,일괄,서류 100,,,,,3합5,"의학:국,영,과탐(2) 중 상위 2개+수(미/기) 합 5 이내",75.5,24.5,,학업적역량(75.5)+사회적역량(24.5),"CNU STRONG(자기관리, 의사소통, 대인관계, 창의융합, 인성, 글로벌)"
충북,충북대,학생부종합Ⅰ,,512,일괄,서류 100,,,,,,없음,38,38,24,학업적역량(61)+사회적역량(19),"직지의 창의 정신을 품은 개신인(진리인, 정의인, 개척인)"
충북,충북대,학생부종합Ⅰ(수의예),수의예,8,일괄,서류 100,,,,,,없음,38,38,24,학업적역량(61)+사회적역량(19),"직지의 창의 정신을 품은 개신인(진리인, 정의인, 개척인)"
충북,충북대,학생부종합Ⅰ(약학),약학,6,일괄,"서류 100(약학과3, 제약학과3)",,,,,,없음,38,38,24,학업적역량(61)+사회적역량(19),"직지의 창의 정신을 품은 개신인(진리인, 정의인, 개척인)"
충북,충북대,학생부종합Ⅰ(의예),의예,3,일괄,서류 100,,,,,,없음,38,38,24,학업적역량(61)+사회적역량(19),"직지의 창의 정신을 품은 개신인(진리인, 정의인, 개척인)"
충북,충북대,학생부종합Ⅱ,,358,일괄,서류 100,,,,,2합7~8,"국,수,영,탐(1) 중 2개 합 7~8등급",38,38,24,학업적역량(61)+사회적역량(19),"직지의 창의 정신을 품은 개신인(진리인, 정의인, 개척인)"
충북,충북대,학생부종합Ⅱ(수의예),수의예,7,일괄,서류 100,,,,,3합8,"국,수,영,과(1) 중 3개 합 8(수 필수)",38,38,24,학업적역량(61)+사회적역량(19),"직지의 창의 정신을 품은 개신인(진리인, 정의인, 개척인)"
충북,충북대,학생부종합Ⅱ(약학),약학,6,일괄,"서류 100(약학과3, 제약학과3)",,,,,3합7,"국,수(미/기),영,과(1) 중 3개 합 7(수 필수)",38,38,24,학업적역량(61)+사회적역량(19),"직지의 창의 정신을 품은 개신인(진리인, 정의인, 개척인)"
충북,충북대,학생부종합Ⅱ(의예),의예,5,일괄,서류 100,,,,,3합4,"국,수(미/기),영,과(1) 중 3개 합 4(수 필수)",38,38,24,학업적역량(61)+사회적역량(19),"직지의 창의 정신을 품은 개신인(진리인, 정의인, 개척인)"
경기,평택대,PTU종합,,66,일괄,서류 100,,,,,,없음,0,70,30,전공적합성(40)+발전가능성(30)+인성(30),"기독교 세계관과 창의적 지신을 갖춘 실천적 인재(心, 協, 創)"
경기,한경국립대,잠재력우수자,,295,일괄,서류 100,,,,,,없음,30,40,30,학업역량(30)+진로역량(40)+인성(30),"융합형 전문인, 소통하는 사회인, 도전하는 지성인"
경기,한국공학대,융합인재,,47,일괄,서류 100 (자유전공학부),,,,,,없음,30,40,30,학업역량(30)+진로역량(40)+공동체역량(30),"창의형 지식인, 진취적 세계인, 실천형 전문가"
경기,한국공학대,창의인재-면접,,200,단계,"1단계(4배수) : 서류 100
2단계 : 1단계60 + 면접40",수능후,11.07.(금),11.29.(토),서류,,없음,30,40,30,학업역량(30)+진로역량(40)+공동체역량(30),"창의형 지식인, 진취적 세계인, 실천형 전문가"
충북,한국교원대,학생부종합우수자,교대 등,317,단계,"1단계(3배수) : 서류 100
2단계 : 1단계80 + 면접20",수능후,11.14.(금),11.29.(토),서류,4합14,"국,수,영,탐(2) 4개 합 14/초등, 불어교육과는 수능최저 없음",33.3,33.3,33.3,학업역량+전공적합성+교직적합성 및 잠재력+교직인성,"교육전문가, 창의적 혁신가, 공감적 리더"
충남,한국기술교육대,창의인재(서류형),,124,일괄,서류 100,,,,,,없음,35,35,30,학업역량(35)+전공적합성(35)+나우리역량(30),"기술과 사람을 잇는 다담형 인재(창의융합형, 도전지향형, 현장실무형 인재, 나우리형 인재)"
충남,한국기술교육대,창의인재(면접형),,110,단계,"1단계(5배수) : 서류 100
2단계 : 1단계60 + 면접40",수능전,10.24.(금),11.01.(토),서류,,없음,35,35,30,학업역량(35)+전공적합성(35)+나우리역량(30),"기술과 사람을 잇는 다담형 인재(창의융합형, 도전지향형, 현장실무형 인재, 나우리형 인재)"
서울,한국외대,면접형,,230,단계,"1단계(3배수) : 서류 100
2단계 : 1단계50 + 면접50",수능후,11.10.(월),11.15.(토),서류,,없음,30,50,20,학업역량(30)+진로역량(50)+공동체역량(20),"미래시대를 선도하는 글로벌 창의융합 인재(글로벌 마인드, 인본적 가치, 창의적 융복합)"
서울,한국외대,서류형,,266,일괄,서류 100,,,,,,없음,50,30,20,학업역량(50)+진로역량(30)+공동체역량(20),"미래시대를 선도하는 글로벌 창의융합 인재(글로벌 마인드, 인본적 가치, 창의적 융복합)"
경기,한국외대(글로벌),서류형,,273,일괄,서류 100,,,,,,없음,50,30,20,학업역량(50)+진로역량(30)+공동체역량(20),"미래시대를 선도하는 글로벌 창의융합 인재(글로벌 마인드, 인본적 가치, 창의적 융복합)"
경기,한국외대(글로벌),면접형,,245,단계,"1단계(3배수) : 서류 100
2단계 : 1단계50 + 면접50",수능후,11.10.(월),11.16.(일/면접장소-서울캠),서류,,없음,30,50,20,학업역량(30)+진로역량(50)+공동체역량(20),"미래시대를 선도하는 글로벌 창의융합 인재(글로벌 마인드, 인본적 가치, 창의적 융복합)"
경기,한국항공대,미래인재,,146,단계,"1단계(3배수) : 서류 100
2단계 : 1단계70 + 면접30",수능전,10.24.(금)예상,11.01.(토)/예상,서류,,없음,30,50,20,학업역량(30)+진로역량(50)+공동체역량(20),"창의적 인재, 실용적 인재, 지도적 인재"
부산,한국해양대,아치해양인재Ⅰ,,99,일괄,교과60 + 학생부40,,,,,1개5~2합9,"해사대학 : 수,영,탐 중 2개 합 9
해양과학기술융합대학 : 수,영,탐 중 1개 5등급
해양인문사회과학대학 : 국,영,탐 중 2개 합 9
그 외 없음, 탐구 소수점 절사",33.3,33.3,33.3,"공동체역량, 진로역량  학업역량",융복합 실용지식을 갖춘 글로벌 해양리더
부산,한국해양대,아치해양인재Ⅱ,,38,일괄,서류 100,,,,,1개5~2합9,"해사대학 : 수,영,탐 중 2개 합 9
해양과학기술융합대학 : 수,영,탐 중 1개 5등급
해양인문사회과학대학 : 국,영,탐 중 2개 합 9
* 그 외 없음, 탐구 소수점 절사",33.3,33.3,33.3,"공동체역량, 진로역량  학업역량",융복합 실용지식을 갖춘 글로벌 해양리더
대전,한남대,한남인재Ⅰ(서류),,474,일괄,서류 100,,,,,,없음,30,40,30,학업역량(30)+진로역량(40)+공동체역량(30),"합리적 지성인, 창의적 전문인, 선도적 세계인"
대전,한남대,한남인재Ⅱ(서류+면접),,63,단계,"1단계(4배수) : 서류 100
2단계 : 1단계70 + 면접30",수능후,11.07.(금),11.22.(토),서류,,없음,30,40,30,학업역량(30)+진로역량(40)+공동체역량(30),"합리적 지성인, 창의적 전문인, 선도적 세계인"
경북,한동대,G-IMPACT인재,,220,단계,"1단계(2.5배수) : 서류 100
2단계 : 1단계70+면접30",수능후,11.14.(금),11.22.(토),서류,,없음,40,30,30,학업역량(40)+성장역량(30)+공동체역량(30),바른 인성과 가치관을 바탕으로 전공역량과 글로벌 및 창의역량을 갖춘 인재
강원,한라대,운곡인재,,100,일괄,서류 100,,,,,,없음,33.3,33.3,33.3,학업역량+진로역량+공동체역량,"따듯한 글로컬 마인드, 창의융합 실무능력, 소통하는 실천"
강원,한림대,학교생활우수자,,507,단계,"1단계(4배수) : 서류 100
2단계 : 1단계70 + 면접30",수능후,11.27.(목),12.03.(수),서류,,없음,40,40,20,학업역량(40)+진로역량(40)+공동체역량(20),"선진인재(선진시민의 보편적 가치, 글로벌 경쟁력, 사회와 국가의 발전과 성숙에 기여)"
강원,한림대,학교생활우수자(의예),의예,35,단계,"1단계(5배수) : 서류 100(의예)
2단계 : 1단계70 + 면접30",수능후,11.27.(목),12.03.(수),서류,3합4,"의예 : 국,수(미/기),영,과탐 중 3개 합 4. 단, 영어 포함시 영어 1등급",40,40,20,학업역량(40)+진로역량(40)+공동체역량(20),"선진인재(선진시민의 보편적 가치, 글로벌 경쟁력, 사회와 국가의 발전과 성숙에 기여)"
충남,한서대,융합인재전형,,29,일괄,서류 100,,,,,,없음,33.3,33.3,33.3,전공적합성+잠재력+인성 및 사회성,H형 인재상(세상의 변화를 읽고 융합적 역량으로 사회에 공헌하는 한서인)
서울,한성대,한성인재,,300,일괄,서류 100,,,,,,없음,30,40,30,학업역량(30)+진로역량(40)+공동체역량(30),"창의적 전문인, 포용적 사회인, 열린 세계인"
서울,한양대,면접형,,120,단계,"1단계(7배수) : 서류 100
2단계 : 1단계 70 +  면접30",수능후,11.07.(금),"11.29.(토,공대,인터)~30.(일,사범)","서류(인성-사범)/제시문(인터,공대)",,없음,50,20,30,"기초학업역량, 심층학업역량,진로탐구역량,공동체역량(2026) / 계열적합성","교양인, 전문인, 실용인, 세계인, 봉사인"
서울,한양대,추천형,,159,일괄,서류 100(3학년 재적인원 11%),,,,,3합7,"국,수,영,탐(1) 중 3개 합 7등급/*계열별 지정 과목 없음",50,30,20,"기초학업역량, 심층학업역량,진로탐구역량,공동체역량(2026) / 계열적합성","교양인, 전문인, 실용인, 세계인, 봉사인"
서울,한양대,추천형(의예),의예,40,일괄,서류 100(3학년 재적인원 11%),,,,,3합4,"의예과 : 국,수,영,탐(2)중 3개 합 4등급/*계열별 지정 과목 없음",50,30,20,"기초학업역량, 심층학업역량,진로탐구역량,공동체역량(2026) / 계열적합성","교양인, 전문인, 실용인, 세계인, 봉사인"
서울,한양대,서류형,,40,일괄,서류 100,,,,,,없음,50,30,20,"기초학업역량, 심층학업역량,진로탐구역량,공동체역량(2026) / 계열적합성","교양인, 전문인, 실용인, 세계인, 봉사인"
서울,한양대,서류형(의예),의예,16,일괄,서류 100,,,,,,없음,50,30,20,"기초학업역량, 심층학업역량,진로탐구역량,공동체역량(2026) / 계열적합성","교양인, 전문인, 실용인, 세계인, 봉사인"
경기,한양대(ERICA),학생부종합-서류형,,470,일괄,서류 100,,,,,,없음,50,30,20,학업역량(50)+진로역량(30)+공동체역량(20),"교양인, 전문인, 실용인, 세계인, 봉사인"
경기,한양대(ERICA),학생부종합-서류형(약학),약학,15,일괄,서류 100,,,,,,없음,50,30,20,학업역량(50)+진로역량(30)+공동체역량(20),"교양인, 전문인, 실용인, 세계인, 봉사인"
경기,한양대(ERICA),학생부종합-면접형,,60,단계,"1단계(3배수) : 서류 100(LIONS자율전공)
2단계 : 1단계70 + 면접30",수능후,11.07.(금),11.22.(토),서류,,없음,50,30,20,학업역량(50)+진로역량(30)+공동체역량(20),"교양인, 전문인, 실용인, 세계인, 봉사인"
경기,협성대,협성창의인재Ⅰ(서류),,50,일괄,서류 100(자율전공학부),,,,,,없음,20,50,30,학업역량(20)+진로역량(50)+공동체역량(30),"영성, 인성, 지성을 갖춘 창의융합 인재"
경기,협성대,협성창의인재Ⅱ(면접),,140,단계,"1단계(4배수) : 서류 100
2단계 : 1단계40+면접60",수능전,10.29.(수),"11.01.(토,인문사회/이공)~02.(일,경영)",서류,,없음,30,40,30,학업역량(30)+진로역량(40)+공동체역량(30),"영성, 인성, 지성을 갖춘 창의융합 인재"
충남,호서대,호서인재,,402,일괄,서류 100,,,,,,없음,30,40,30,학업역량(30)+진로역량(40)+공동체역량(30),벤처정신을 가진 사회공헌형 인재
서울,홍익대(서울),학교생활우수자,,466,일괄,서류 100,,,,,3합8,"국,수,영,탐(1) 중 3개 합 8, 한4",40,40,20,학업역량(40)+진로역량(40)+공동체역량(20),국가와 인류 발전에 기여하는 자주·창조·협동적 인재
세종,홍익대(세종),학교생활우수자,,235,일괄,서류 100,,,,,,없음,40,40,20,학업역량(40)+진로역량(40)+공동체역량(20),국가와 인류 발전에 기여하는 자주·창조·협동적 인재
