대학명,유형,전형명,1단계발표,논술일정,면접일정,합격발표,고사시기
창원대,교과,학생부교과(글로컬인재전형),,,,12.18(금),
창원대,교과,학생부교과(학업성적우수자전형),,,,12.18(금),
창원대,종합,학생부종합(계열적합인재전형),11.13(금),,11.24(화),12.18(금),수능후
창원대,교과,학생부교과(지역인재전형),,,,12.18(금),
창원대,종합,학생부종합(지역인재전형),,,,12.18(금),
청운대,교과,학생부교과(일반전형),,,,11.05(목),
청운대,교과,학생부교과(청운인재전형),,,10.19(월)~10.23(금),11.05(목),수능전
청운대,교과,학생부교과(지역인재전형),,,,11.05(목),
청운대(인천),교과,학생부교과(일반전형),,,,11.05(목),
청운대(인천),교과,학생부교과(청운인재전형),,,10.19(월)~10.23(금),11.05(목),수능전
청주교대,종합,학생부종합(배움나눔인재전형),,,,12.18(금),
청주교대,종합,학생부종합(지역인재전형),11.13(금),,11.27(금),12.18(금),수능후
청주대,교과,학생부교과(교과면접전형),,,10.17(토)~10.18(일),11.17(화),수능전
청주대,교과,학생부교과(교과면접전형-항공서비스학과),,,10.25(일),11.17(화),수능전
청주대,교과,학생부교과(교과인재전형),,,,11.17(화),
청주대,교과,학생부교과(군사학과전형),09.29(화),,10.14(수)~10.15(목),12.15(화),수능전
청주대,교과,학생부교과(미래인재전형),,,,11.17(화),
청주대,교과,학생부교과(일반전형),,,,11.17(화),
청주대,교과,학생부교과(지역인재전형),,,,11.17(화),
초당대,교과,학생부교과(일반고전형),,,,12.18(금),
초당대,교과,학생부교과(일반학생전형),,,,12.18(금),
초당대,교과,학생부교과(지역인재전형),,,,12.18(금),
총신대,교과,학생부교과(교과우수자),,,10.17(토),12.18(금),수능전
총신대,종합,학생부종합(대안학교출신자),11.04(수),,11.14(토),12.18(금),수능전
총신대,종합,학생부종합(목회자추천자),,,11.07(토),12.18(금),수능전
총신대,종합,학생부종합(코람데오인재),11.04(수),,11.14(토),12.18(금),수능전
추계예술대,교과,학생부교과(미래인재전형),09.23(수),,10.17(토),11.13(금),수능전
춘천교대,종합,학생부종합(교직적·인성인재),,,,12.18(금),
춘천교대,종합,학생부종합(강원교육인재),,,,12.18(금),
충남대,교과,학생부교과(국가안보교과전형),11.20(금),,12.04(금),12.18(금),수능후
충남대,교과,학생부교과(일반전형),,,,12.18(금),
충남대,종합,학생부종합(학생부종합Ⅰ-면접전형),11.20(금),,12.01(화),12.18(금),수능후
충남대,종합,학생부종합(학생부종합Ⅰ-서류전형),,,,12.18(금),
충남대,종합,학생부종합(학생부종합Ⅱ-국가안보융합인재전형-국토안보학),11.20(금),,12.04(금),12.18(금),수능후
충남대,종합,학생부종합(학생부종합Ⅱ-국가안보융합인재전형-해양안보학),11.20(금),,12.04(금),12.18(금),수능후
충남대,종합,학생부종합(학생부종합Ⅱ-소프트웨어인재전형),11.20(금),,12.03(목),12.18(금),수능후
충남대,종합,학생부종합(학생부종합Ⅱ-영농창업인재전형),11.20(금),,12.04(금),12.18(금),수능후
충남대,종합,학생부종합(학생부종합Ⅱ-지역의사선발),,,,12.18(금),
충남대,교과,학생부교과(지역인재전형),,,,12.18(금),
충남대,종합,학생부종합(학생부종합Ⅱ-지역인재전형-의예과),11.20(금),,12.02(수),12.18(금),수능후
충북대,교과,학생부교과(학생부교과전형),,,,12.18(금),
충북대,종합,학생부종합(sw우수인재전형),,,,12.18(금),
충북대,종합,학생부종합(학생부종합Ⅰ전형),,,,12.18(금),
충북대,종합,학생부종합(학생부종합Ⅱ전형),,,,12.18(금),
충북대,교과,학생부교과(지역의사광역권전형),,,,12.18(금),
충북대,교과,학생부교과(지역의사진료권(제천)전형),,,,12.18(금),
충북대,교과,학생부교과(지역의사진료권(청주)전형),,,,12.18(금),
충북대,교과,학생부교과(지역의사진료권(충주)전형),,,,12.18(금),
충북대,교과,학생부교과(지역인재전형),,,,12.18(금),
칼빈대,교과,학생부교과(일반학생전형),,,10.16(금),10.30(금),수능전
칼빈대,교과,학생부교과(크리스찬인재특별전형),,,10.16(금),10.30(금),수능전
평택대,교과,학생부교과(PTU교과전형),,,,11.20(금),
평택대,교과,학생부교과(PTU자율전공전형),,,,11.20(금),
평택대,교과,학생부교과(PTU추천전형),,,,11.20(금),
평택대,종합,학생부종합(PTU종합전형),,,,11.20(금),
한경국립대,교과,학생부교과(일반전형-안성),,,,12.17(목),
한경국립대,교과,학생부교과(지역균형선발-안성),,,,11.18(수),
한경국립대,종합,학생부종합(잠재력우수자-안성),,,,12.17(목),
한경국립대(평택),교과,학생부교과(일반전형-평택),,,,11.18(수),
한국공대,논술,논술(논술우수자),,11.22(일),,12.18(금),수능후
한국공대,교과,학생부교과(교과우수자),,,,12.18(금),
한국공대,교과,학생부교과(지역균형),,,,12.18(금),
한국공대,종합,학생부종합(융합인재),,,,12.18(금),
한국공대,종합,학생부종합(조기취업형계약학과)(정원외),11.06(금),,11.25(수),12.18(금),수능후
한국공대,종합,학생부종합(창의인재),11.06(금),,11.28(토),12.18(금),수능후
한국교원대,종합,학생부종합(학생부종합우수자 일반전형),11.20(금),,12.05(토),12.17(목),수능후
한국교원대,교과,학생부교과(지역인재 특별전형),,,,12.17(목),
한국교통대,교과,학생부교과(일반전형),,,,12.18(금),
한국교통대,종합,학생부종합(학생부종합Ⅰ전형),11.16(월),,11.25(수)~11.27(금),12.18(금),수능후
한국교통대,종합,학생부종합(학생부종합Ⅱ전형),,,,12.18(금),
한국교통대,교과,학생부교과(지역인재전형),,,,12.18(금),
한국교통대(의왕),교과,학생부교과(일반전형),,,,12.18(금),
한국교통대(의왕),종합,학생부종합(학생부종합Ⅱ전형),,,,12.18(금),
한국교통대(증평),교과,학생부교과(일반전형),,,,12.18(금),
한국교통대(증평),종합,학생부종합(학생부종합Ⅱ전형),,,,12.18(금),
한국교통대(증평),교과,학생부교과(지역인재전형),,,,12.18(금),
한국기술교대,논술,논술(논술전형),,11.25(수),,12.18(금),수능후
한국기술교대,교과,학생부교과(일반전형),,,,12.18(금),
한국기술교대,종합,학생부종합(창의인재(면접형)),10.23(금),,10.31(토),11.13(금),수능전
한국기술교대,종합,학생부종합(창의인재(서류형)),,,,11.13(금),
한국기술교대,종합,학생부종합(충남형계약학과(조기취업형))(정원외),10.23(금),,11.01(일),11.13(금),수능전
한국기술교대,교과,학생부교과(지역인재전형),,,,12.18(금),
한국성서대,교과,학생부교과(교과성적우수자전형),,,10.07(수)~10.08(목),11.06(금),수능전
한국성서대,교과,학생부교과(목회자추천전형),,,10.07(수)~10.08(목),11.06(금),수능전
한국성서대,교과,학생부교과(일반학생전형),,,10.07(수)~10.08(목),11.06(금),수능전
한국외대,논술,논술(논술전형),,11.28(토)~11.29(일),,12.18(금),수능후
한국외대,교과,학생부교과(학교장추천전형),,,,12.18(금),
한국외대,종합,학생부종합(면접형),11.16(월),,11.21(토),12.18(금),수능후
한국외대,종합,학생부종합(서류형),,,,12.18(금),
한국외대(글로벌),논술,논술(논술전형),,11.28(토)~11.29(일),,12.18(금),수능후
한국외대(글로벌),교과,학생부교과(학교장추천전형),,,,12.18(금),
한국외대(글로벌),종합,학생부종합(SW인재),,,,12.18(금),
한국외대(글로벌),종합,학생부종합(면접형),11.16(월),,11.22(일),12.18(금),수능후
한국외대(글로벌),종합,학생부종합(서류형),,,,12.18(금),
한국외대(송도),종합,학생부종합(서류형),,,,12.18(금),
한국체육대,교과,학생부교과(교과성적우수자전형),,,,12.18(금),
한국항공대,논술,논술(논술우수자),,11.21(토),,12.18(금),수능후
한국항공대,교과,학생부교과(교과성적우수자),,,,12.18(금),
한국항공대,교과,학생부교과(학교장추천),,,,12.18(금),
한국항공대,종합,학생부종합(미래인재),10.30(금),,11.07(토),12.18(금),수능전
한국해양대,교과,학생부교과(교과성적우수자전형-남),,,,12.18(금),
한국해양대,교과,학생부교과(교과성적우수자전형-여),,,,12.18(금),
한국해양대,교과,학생부교과(일반전형),,,,12.18(금),
한국해양대,종합,학생부종합(아치해양인재전형Ⅰ(일반)),,,,12.18(금),
한국해양대,교과,학생부교과(지역인재전형),10.28(수),,11.26(목),12.18(금),수능후
한남대,교과,학생부교과(어학인재전형),,,10.14(수),11.13(금),수능전
한남대,교과,학생부교과(일반전형),,,,11.13(금),
한남대,종합,학생부종합(창업인재전형),11.13(금),,11.28(토),12.18(금),수능후
한남대,종합,학생부종합(한남인재Ⅰ전형),,,,11.13(금),
한남대,종합,학생부종합(한남인재Ⅱ전형),11.13(금),,11.28(토),12.18(금),수능후
한남대,교과,학생부교과(지역인재교과우수자전형),,,,11.13(금),
한동대,교과,학생부교과(일반),,,,12.17(목),
한동대,교과,학생부교과(한동인재),,,,11.11(수),
한동대,종합,학생부종합(G-IMPACT인재),11.11(수),,11.21(토),11.27(금),수능후
한동대,종합,학생부종합(SW인재),11.11(수),,11.21(토),11.27(금),수능후
한동대,종합,학생부종합(글로벌인재),11.27(금),,12.05(토),12.11(금),수능후
한동대,종합,학생부종합(대안학교),11.27(금),,12.05(토),12.11(금),수능후
한동대,종합,학생부종합(선교사·목회자 자녀),11.27(금),,12.05(토),12.11(금),수능후
한동대,교과,학생부교과(지역인재),,,,11.11(수),
한라대,교과,학생부교과(일반학생(교과중심)),,,,11.13(금),
한라대,교과,학생부교과(일반학생(면접중심)),,,10.15(목),11.13(금),수능전
한라대,종합,학생부종합(운곡인재),,,,11.13(금),
한라대,교과,학생부교과(지역인재),,,,11.13(금),
한림대,교과,학생부교과(교과우수자전형),,,,10.15(목),
한림대,종합,학생부종합(학교생활우수자전형),12.03(목),,12.09(수),12.17(목),수능후
한림대,교과,학생부교과(지역인재전형),,,,10.15(목),
한림대,종합,학생부종합(지역의사전형),12.03(목),,12.09(수),12.17(목),수능후
한림대,종합,학생부종합(지역인재전형),12.03(목),,12.08(화),12.17(목),수능후
한밭대,교과,학생부교과(일반),,,,12.18(금),
한밭대,종합,학생부종합(소프트웨어인재),11.06(금),,11.20(금),12.18(금),수능후
한밭대,종합,학생부종합(야간),11.06(금),,11.20(금),12.18(금),수능후
한밭대,종합,학생부종합(일반),,,,12.18(금),
한밭대,종합,학생부종합(학·석사),,,,12.18(금),
한밭대,교과,학생부교과(지역인재(교과)),,,,12.18(금),
한밭대,종합,학생부종합(지역인재(종합)),11.06(금),,11.20(금),12.18(금),수능후
한서대,교과,학생부교과(학생부교과전형),,,,11.20(금),
한서대,교과,학생부교과(학생부교과전형-항공관광학과),,,10.26(월)~10.29(목),11.20(금),수능전
한서대,교과,학생부교과(한서인재전형),,,10.26(월)~10.29(목),11.20(금),수능전
한서대,종합,학생부종합(융합인재전형),,,,11.20(금),
한서대,교과,학생부교과(지역인재 특별전형),,,,11.20(금),
한서대,교과,학생부교과(지역인재 특별전형-항공관광학과),,,10.26(월)~10.29(목),11.20(금),수능전
한성대,교과,학생부교과(교과우수전형),,,,12.16(수),
한성대,교과,학생부교과(지역균형전형),,,,11.06(금),
한성대,종합,학생부종합(한성인재전형),,,,11.06(금),
한세대,교과,학생부교과(교과우수자전형),,,,11.10(화),
한세대,교과,학생부교과(면접우수자전형),,,10.24(토)~10.25(일),11.10(화),수능전
한세대,종합,학생부종합(한세인재전형),,,,11.10(화),
한신대,논술,논술(논술전형),,12.05(토),,12.18(금),수능후
한신대,교과,학생부교과(참인재전형),,,10.03(토),11.06(금),수능전
한신대,교과,학생부교과(학교장추천전형),,,,12.18(금),
한신대,교과,학생부교과(학생부우수자전형),,,,12.18(금),
한양대,논술,논술,,11.28(토),,12.18(금),수능후
한양대,논술,논술(정원외),,11.29(일),,12.18(금),수능후
한양대,교과,학생부교과(추천형),,,,12.18(금),
한양대,교과,학생부교과(추천형)(정원외),,,,12.18(금),
한양대,종합,학생부종합(면접형),11.13(금),,11.22(일),12.18(금),수능후
한양대,종합,학생부종합(서류형),,,,12.18(금),
한양대,종합,학생부종합(서류형)(정원외),,,,12.18(금),
한양대,종합,학생부종합(추천형),,,,12.18(금),
한양대(ERICA),교과,학생부교과(지역균형선발),,,,12.18(금),
한양대(ERICA),종합,학생부종합(국방전략기술공학)(정원외),10.08(목),,10.31(토),12.18(금),수능전
한양대(ERICA),종합,학생부종합(면접형),11.13(금),,11.21(토),12.18(금),수능후
한양대(ERICA),종합,학생부종합(서류형),,,,12.18(금),
한양대(ERICA),종합,학생부종합(서해 5도)(정원외),,,,12.18(금),
한양대(ERICA),종합,학생부종합(조기취업형 계약학과)(정원외),10.08(목),,10.29(목)~10.31(토),11.13(금),수능전
한양대(ERICA),종합,학생부종합(체육인재),,,,11.13(금),
협성대,교과,학생부교과(교과성적우수자전형),,,,10.21(수),
협성대,교과,학생부교과(미래창의인재전형),10.14(수),,10.17(토)~10.18(일),12.18(금),수능전
협성대,교과,학생부교과(웨슬리전형),10.14(수),,10.17(토),12.18(금),수능전
협성대,종합,학생부종합(융합인재Ⅰ전형),,,,12.18(금),
협성대,종합,학생부종합(융합인재Ⅱ전형),10.28(수),,10.31(토)~11.01(일),12.18(금),수능전
호남대,교과,학생부교과(일반고전형),,,,10.29(목),
호남대,교과,학생부교과(일반학생A전형),,,10.23(금),10.29(목),수능전
호남대,교과,학생부교과(일반학생B전형),,,,10.29(목),
호남대,교과,학생부교과(지역인재전형),,,,10.29(목),
호서대,교과,학생부교과(면접전형),,,10.23(금)~10.24(토),11.24(화),수능전
호서대,교과,학생부교과(학생부전형),,,,11.24(화),
호서대,종합,학생부종합(호서인재전형),,,,11.24(화),
호서대,교과,학생부교과(지역인재전형),,,,11.24(화),
호서대(아산),교과,학생부교과(면접전형),,,10.23(금)~10.24(토),11.24(화),수능전
호서대(아산),교과,학생부교과(조기취업형계약학과전형)(정원외),,,10.22(목),11.24(화),수능전
호서대(아산),교과,학생부교과(학생부전형),,,,11.24(화),
호서대(아산),종합,학생부종합(호서인재전형),,,,11.24(화),
호서대(아산),교과,학생부교과(지역인재전형),,,,11.24(화),
호원대,교과,학생부교과(검정고시출신자전형),,,,10.30(금),
호원대,교과,학생부교과(일반전형),,,,10.30(금),
호원대,교과,학생부교과(지역인재전형),,,,10.30(금),
홍익대,논술,논술,,10.03(토)~10.04(일),,12.18(금),수능전
홍익대,교과,학생부교과(학교장추천자),,,,12.18(금),
홍익대,종합,학생부종합(학교생활우수자),,,,12.18(금),
홍익대(세종),논술,논술,,11.22(일),,12.18(금),수능후
홍익대(세종),교과,학생부교과(교과우수자),,,,12.18(금),
홍익대(세종),종합,학생부종합(학교생활우수자),,,,12.18(금),
화성의과학대,교과,학생부교과(학생부교과우수자전형),,,,11.13(금),
